ID,Store ID,Location,Season,Product,Total Price,Base Price,Units Sold
1,8222,Chennai,Summer,Heater,1849.0363,2117.0487,12
2,8222,Bangalore,Monsoon,Heater,1336.9121,1534.1589,26
3,8058,Kolkata,Winter,Heater,2320.4793,2631.3738,220
4,8091,Chennai,Winter,Raincoat,173.1042,202.8265,51
5,8512,Chennai,Autumn,Umbrella,244.9977,245.6155,77
6,8094,Kolkata,Monsoon,Ice Cream,57.8479,67.2839,43
7,8218,Chennai,Winter,Cold Drinks,70.2338,82.3958,32
8,8063,Chennai,Monsoon,Ice Cream,134.1567,137.5995,44
9,8745,Mumbai,Autumn,Cold Drinks,101.2237,112.8775,105
10,8058,Delhi,Autumn,Raincoat,207.4975,212.5253,89
11,8095,Delhi,Winter,Sweater,591.931,598.95,252
12,8745,Pune,Autumn,Jacket,1141.6781,1168.9376,150
13,8856,Kolkata,Autumn,Water Bottle,365.9591,388.8817,92
14,8218,Kolkata,Monsoon,Rice,55.6677,60.9382,100
15,8512,Jaipur,Autumn,Umbrella,313.4337,326.7143,45
16,8401,Kolkata,Winter,Ice Cream,142.3332,144.1723,28
17,8121,Chennai,Winter,Rice,57.2182,63.8135,108
18,8023,Bangalore,Autumn,Heater,1311.9602,1404.3879,74
19,8023,Pune,Winter,Umbrella,317.8085,340.1963,42
20,8745,Pune,Monsoon,Jacket,839.3609,968.5303,51
21,8094,Pune,Autumn,Ice Cream,108.4563,116.0592,58
22,8745,Kolkata,Monsoon,Ice Cream,101.787,105.6613,43
23,8634,Jaipur,Monsoon,Umbrella,188.2985,190.3053,237
24,8745,Mumbai,Summer,Raincoat,337.7585,382.6138,32
25,8745,Hyderabad,Monsoon,Water Bottle,107.5714,119.0681,113
26,8091,Mumbai,Summer,Jacket,1032.3847,1054.4118,43
27,8058,Jaipur,Monsoon,Jacket,751.5162,787.864,39
28,8512,Jaipur,Monsoon,Raincoat,268.4485,287.5057,223
29,8745,Mumbai,Winter,Sweater,404.1486,423.438,254
30,8091,Kolkata,Summer,Heater,829.5464,881.1513,11
31,8512,Hyderabad,Monsoon,Sunscreen,224.9733,238.0285,43
32,8095,Kolkata,Autumn,Water Bottle,350.4535,395.4081,83
33,8222,Bangalore,Autumn,Rice,93.8595,103.693,130
34,8095,Hyderabad,Winter,Rice,63.9498,69.0431,109
35,8634,Bangalore,Autumn,Sweater,285.7311,308.2939,141
36,8063,Jaipur,Monsoon,Sweater,700.6575,770.2616,32
37,8095,Jaipur,Summer,Jacket,485.235,490.7788,30
38,8094,Pune,Autumn,Water Bottle,365.7058,394.2939,105
39,8095,Mumbai,Autumn,Sunscreen,434.842,460.1672,67
40,8218,Bangalore,Monsoon,Umbrella,331.56,364.0811,302
41,8121,Chennai,Monsoon,Rice,68.6371,69.6977,124
42,8745,Bangalore,Autumn,Jacket,791.8879,930.8014,164
43,8095,Hyderabad,Monsoon,Jacket,461.0953,540.7402,55
44,8023,Jaipur,Autumn,Heater,2178.7759,2229.1924,68
45,8091,Jaipur,Autumn,Umbrella,274.3328,309.0832,71
46,8058,Hyderabad,Summer,Umbrella,352.3732,373.0116,35
47,8023,Hyderabad,Summer,Rice,68.729,71.7146,89
48,8063,Bangalore,Autumn,Rice,62.565,62.6162,142
49,8634,Hyderabad,Summer,Raincoat,296.661,348.0635,31
50,8634,Mumbai,Winter,Sunscreen,327.9466,328.917,68
51,8856,Kolkata,Summer,Ice Cream,76.5511,82.956,217
52,8218,Delhi,Monsoon,Raincoat,447.5587,478.4119,301
53,8095,Jaipur,Monsoon,Raincoat,305.0341,343.4587,216
54,8095,Delhi,Summer,Heater,2229.2995,2333.4346,21
55,8634,Delhi,Monsoon,Water Bottle,332.4722,339.2363,110
56,8512,Delhi,Monsoon,Jacket,793.2626,902.3155,56
57,8745,Jaipur,Winter,Umbrella,212.535,234.4988,23
58,8222,Pune,Winter,Umbrella,248.1236,266.3995,40
59,8058,Delhi,Winter,Raincoat,256.8336,300.1005,72
60,8058,Bangalore,Autumn,Sunscreen,298.24,308.8973,61
61,8512,Kolkata,Monsoon,Sweater,633.8823,721.0115,44
62,8094,Pune,Autumn,Sweater,364.6986,366.3727,141
